,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
107,14737KABE,ABE2001120101480648,0.146,N,211.0,7.0,198.0,8.0,12
243,14737KABE,ABE2001120104040904,0.48100000000000004,N,202.0,3.0,198.0,3.0,12
244,14737KABE,ABE2001120104050905,0.478,N,199.0,3.0,197.0,3.0,12
245,14737KABE,ABE2001120104060906,0.63,N,197.0,3.0,196.0,3.0,12
246,14737KABE,ABE2001120104070907,0.983,N,197.0,3.0,197.0,3.0,12
247,14737KABE,ABE2001120104080908,1.204,N,197.0,2.0,196.0,2.0,12
248,14737KABE,ABE2001120104090909,1.213,N,195.0,2.0,195.0,2.0,12
249,14737KABE,ABE2001120104100910,0.74,N,195.0,2.0,196.0,2.0,12
251,14737KABE,ABE2001120104120912,0.847,N,201.0,2.0,192.0,2.0,12
252,14737KABE,ABE2001120104130913,0.585,N,197.0,2.0,192.0,3.0,12
253,14737KABE,ABE2001120104140914,0.5539999999999999,N,189.0,3.0,186.0,3.0,12
254,14737KABE,ABE2001120104150915,1.01,N,185.0,2.0,186.0,2.0,12
255,14737KABE,ABE2001120104160916,1.87,N,185.0,2.0,194.0,3.0,12
256,14737KABE,ABE2001120104170917,2.405,N,185.0,2.0,185.0,3.0,12
257,14737KABE,ABE2001120104180918,1.994,N,184.0,3.0,190.0,3.0,12
258,14737KABE,ABE2001120104190919,2.7310000000000003,N,184.0,2.0,186.0,3.0,12
259,14737KABE,ABE2001120104200920,2.955,N,188.0,3.0,192.0,3.0,12
260,14737KABE,ABE2001120104210921,1.944,N,187.0,3.0,176.0,3.0,12
265,14737KABE,ABE2001120104260926,1.23,N,196.0,3.0,195.0,4.0,12
266,14737KABE,ABE2001120104270927,1.006,N,196.0,4.0,197.0,5.0,12
309,14737KABE,ABE2001120105101010,1.43,N,201.0,4.0,198.0,4.0,12
313,14737KABE,ABE2001120105141014,1.485,N,207.0,4.0,198.0,5.0,12
498,14737KABE,ABE2001120108191319,0.221,D,201.0,6.0,198.0,6.0,12
504,14737KABE,ABE2001120108251325,0.209,D,199.0,6.0,189.0,9.0,12
1437,14737KABE,ABE2001120123580458,0.092,N,208.0,3.0,198.0,3.0,12
1439,14737KABE,ABE2001120200000500,0.092,N,200.0,4.0,188.0,4.0,12
1440,14737KABE,ABE2001120200010501,0.091,N,195.0,4.0,192.0,4.0,12
1441,14737KABE,ABE2001120200020502,0.091,N,191.0,4.0,193.0,4.0,12
1442,14737KABE,ABE2001120200030503,0.08900000000000001,N,193.0,4.0,194.0,4.0,12
1443,14737KABE,ABE2001120200040504,0.085,N,191.0,4.0,189.0,4.0,12
1444,14737KABE,ABE2001120200050505,0.084,N,186.0,4.0,182.0,4.0,12
1445,14737KABE,ABE2001120200060506,0.087,N,185.0,3.0,184.0,4.0,12
1446,14737KABE,ABE2001120200070507,0.08900000000000001,N,189.0,3.0,191.0,3.0,12
1447,14737KABE,ABE2001120200080508,0.087,N,193.0,2.0,188.0,2.0,12
1448,14737KABE,ABE2001120200090509,0.087,N,185.0,2.0,165.0,3.0,12
1819,14737KABE,ABE2001120206201120,0.115,N,199.0,3.0,199.0,4.0,12
1821,14737KABE,ABE2001120206221122,0.121,N,203.0,4.0,199.0,4.0,12
1822,14737KABE,ABE2001120206231123,0.122,N,199.0,4.0,196.0,4.0,12
1823,14737KABE,ABE2001120206241124,0.124,N,196.0,4.0,198.0,4.0,12
1824,14737KABE,ABE2001120206251125,0.126,N,197.0,4.0,195.0,4.0,12
1826,14737KABE,ABE2001120206271127,0.124,N,197.0,4.0,198.0,4.0,12
1827,14737KABE,ABE2001120206281128,0.124,N,199.0,3.0,197.0,4.0,12
1831,14737KABE,ABE2001120206321132,0.129,N,216.0,2.0,198.0,2.0,12
1946,14737KABE,ABE2001120208271327,0.132,D,209.0,1.0,182.0,2.0,12
1947,14737KABE,ABE2001120208281328,0.128,D,201.0,1.0,182.0,2.0,12
1949,14737KABE,ABE2001120208301330,0.128,D,181.0,1.0,192.0,2.0,12
1950,14737KABE,ABE2001120208311331,0.129,D,173.0,1.0,163.0,2.0,12
1951,14737KABE,ABE2001120208321332,0.128,D,159.0,2.0,161.0,2.0,12
1952,14737KABE,ABE2001120208331333,0.12300000000000001,D,162.0,2.0,197.0,3.0,12
1953,14737KABE,ABE2001120208341334,0.121,D,172.0,2.0,178.0,2.0,12
1954,14737KABE,ABE2001120208351335,0.12,D,181.0,2.0,189.0,2.0,12
1955,14737KABE,ABE2001120208361336,0.12300000000000001,D,186.0,2.0,195.0,3.0,12
2659,14737KABE,ABE2001120223240424,0.249,N,244.0,1.0,139.0,1.0,12
2661,14737KABE,ABE2001120223260426,0.254,N,219.0,1.0,197.0,1.0,12
2720,14737KABE,ABE2001120300250525,0.24100000000000002,N,238.0,1.0,194.0,1.0,12
2721,14737KABE,ABE2001120300260526,0.23800000000000002,N,201.0,1.0,186.0,1.0,12
2724,14737KABE,ABE2001120300290529,0.247,N,190.0,0.0,184.0,0.0,12
2725,14737KABE,ABE2001120300300530,0.261,N,184.0,0.0,184.0,0.0,12
2726,14737KABE,ABE2001120300310531,0.272,N,184.0,0.0,185.0,0.0,12
2730,14737KABE,ABE2001120300350535,0.281,N,236.0,0.0,194.0,0.0,12
2731,14737KABE,ABE2001120300360536,0.27699999999999997,N,204.0,0.0,197.0,1.0,12
2732,14737KABE,ABE2001120300370537,0.281,N,192.0,1.0,170.0,1.0,12
2733,14737KABE,ABE2001120300380538,0.299,N,176.0,1.0,163.0,2.0,12
2734,14737KABE,ABE2001120300390539,0.297,N,163.0,2.0,159.0,2.0,12
2735,14737KABE,ABE2001120300400540,0.29100000000000004,N,161.0,2.0,161.0,2.0,12
2736,14737KABE,ABE2001120300410541,0.273,N,159.0,2.0,155.0,2.0,12
2737,14737KABE,ABE2001120300420542,0.271,N,157.0,2.0,154.0,2.0,12
2738,14737KABE,ABE2001120300430543,0.266,N,154.0,2.0,159.0,2.0,12
2739,14737KABE,ABE2001120300440544,0.263,N,152.0,1.0,148.0,1.0,12
2740,14737KABE,ABE2001120300450545,0.263,N,148.0,1.0,141.0,1.0,12
2741,14737KABE,ABE2001120300460546,0.262,N,140.0,1.0,137.0,1.0,12
2742,14737KABE,ABE2001120300470547,0.258,N,135.0,1.0,133.0,1.0,12
2743,14737KABE,ABE2001120300480548,0.259,N,134.0,1.0,133.0,1.0,12
2744,14737KABE,ABE2001120300490549,0.254,N,133.0,1.0,133.0,1.0,12
2745,14737KABE,ABE2001120300500550,0.251,N,133.0,0.0,133.0,0.0,12
2746,14737KABE,ABE2001120300510551,0.252,N,133.0,0.0,133.0,0.0,12
2747,14737KABE,ABE2001120300520552,0.273,N,132.0,0.0,128.0,0.0,12
2748,14737KABE,ABE2001120300530553,0.287,N,130.0,0.0,128.0,1.0,12
2749,14737KABE,ABE2001120300540554,0.275,N,127.0,1.0,124.0,1.0,12
2750,14737KABE,ABE2001120300550555,0.275,N,125.0,1.0,124.0,1.0,12
2751,14737KABE,ABE2001120300560556,0.282,N,123.0,1.0,124.0,1.0,12
2752,14737KABE,ABE2001120300570557,0.287,N,119.0,0.0,115.0,0.0,12
2753,14737KABE,ABE2001120300580558,0.293,N,115.0,0.0,115.0,0.0,12
2759,14737KABE,ABE2001120301040604,0.276,N,102.0,1.0,117.0,1.0,12
2760,14737KABE,ABE2001120301050605,0.285,N,115.0,1.0,119.0,1.0,12
2761,14737KABE,ABE2001120301060606,0.287,N,121.0,1.0,123.0,1.0,12
2762,14737KABE,ABE2001120301070607,0.3,N,128.0,0.0,135.0,0.0,12
2763,14737KABE,ABE2001120301080608,0.318,N,134.0,0.0,135.0,0.0,12
2764,14737KABE,ABE2001120301090609,0.32299999999999995,N,135.0,0.0,135.0,0.0,12
2765,14737KABE,ABE2001120301100610,0.295,N,135.0,0.0,135.0,0.0,12
2766,14737KABE,ABE2001120301110611,0.281,N,135.0,0.0,134.0,0.0,12
2767,14737KABE,ABE2001120301120612,0.278,N,132.0,0.0,124.0,0.0,12
2768,14737KABE,ABE2001120301130613,0.28300000000000003,N,127.0,0.0,124.0,0.0,12
2774,14737KABE,ABE2001120301190619,0.3,N,117.0,0.0,130.0,0.0,12
2775,14737KABE,ABE2001120301200620,0.325,N,130.0,0.0,133.0,0.0,12
2776,14737KABE,ABE2001120301210621,0.319,N,136.0,0.0,147.0,0.0,12
2777,14737KABE,ABE2001120301220622,0.319,N,144.0,0.0,147.0,0.0,12
2778,14737KABE,ABE2001120301230623,0.389,N,147.0,0.0,147.0,0.0,12
2779,14737KABE,ABE2001120301240624,0.435,N,147.0,0.0,147.0,0.0,12
2780,14737KABE,ABE2001120301250625,0.584,N,147.0,0.0,147.0,0.0,12
2889,14737KABE,ABE2001120303140814,0.32899999999999996,N,105.0,1.0,123.0,1.0,12
2890,14737KABE,ABE2001120303150815,0.264,N,118.0,1.0,123.0,1.0,12
2891,14737KABE,ABE2001120303160816,0.293,N,123.0,1.0,123.0,1.0,12
2892,14737KABE,ABE2001120303170817,0.305,N,122.0,1.0,122.0,0.0,12
2893,14737KABE,ABE2001120303180818,0.263,N,122.0,0.0,122.0,0.0,12
2894,14737KABE,ABE2001120303190819,0.284,N,122.0,0.0,122.0,0.0,12
2895,14737KABE,ABE2001120303200820,0.408,N,122.0,0.0,122.0,0.0,12
2896,14737KABE,ABE2001120303210821,0.385,N,122.0,0.0,123.0,0.0,12
2936,14737KABE,ABE2001120304010901,0.5489999999999999,N,334.0,1.0,174.0,1.0,12
2951,14737KABE,ABE2001120304160916,0.41100000000000003,N,198.0,1.0,186.0,1.0,12
2968,14737KABE,ABE2001120304330933,0.433,N,202.0,3.0,199.0,3.0,12
2969,14737KABE,ABE2001120304340934,0.445,N,195.0,3.0,189.0,3.0,12
2970,14737KABE,ABE2001120304350935,0.382,N,188.0,3.0,183.0,3.0,12
2971,14737KABE,ABE2001120304360936,0.359,N,186.0,3.0,189.0,4.0,12
2972,14737KABE,ABE2001120304370937,0.348,N,189.0,4.0,190.0,4.0,12
2973,14737KABE,ABE2001120304380938,0.348,N,186.0,3.0,185.0,3.0,12
2974,14737KABE,ABE2001120304390939,0.349,N,183.0,3.0,189.0,3.0,12
2975,14737KABE,ABE2001120304400940,0.341,N,189.0,3.0,194.0,3.0,12
2976,14737KABE,ABE2001120304410941,0.344,N,194.0,3.0,194.0,3.0,12
2977,14737KABE,ABE2001120304420942,0.326,N,194.0,3.0,189.0,3.0,12
2978,14737KABE,ABE2001120304430943,0.331,N,194.0,3.0,199.0,3.0,12
2987,14737KABE,ABE2001120304520952,0.33799999999999997,N,205.0,2.0,198.0,2.0,12
2988,14737KABE,ABE2001120304530953,0.341,N,199.0,2.0,198.0,3.0,12
2989,14737KABE,ABE2001120304540954,0.321,N,193.0,2.0,185.0,2.0,12
2990,14737KABE,ABE2001120304550955,0.309,N,185.0,2.0,179.0,2.0,12
2991,14737KABE,ABE2001120304560956,0.309,N,180.0,2.0,176.0,2.0,12
2992,14737KABE,ABE2001120304570957,0.331,N,174.0,2.0,170.0,3.0,12
2993,14737KABE,ABE2001120304580958,0.305,N,166.0,3.0,154.0,3.0,12
2994,14737KABE,ABE2001120304590959,0.29100000000000004,N,159.0,3.0,160.0,3.0,12
2995,14737KABE,ABE2001120305001000,0.38299999999999995,N,160.0,3.0,163.0,3.0,12
2996,14737KABE,ABE2001120305011001,0.33899999999999997,N,164.0,3.0,164.0,3.0,12
2997,14737KABE,ABE2001120305021002,0.37,N,162.0,3.0,157.0,3.0,12
2998,14737KABE,ABE2001120305031003,0.355,N,157.0,3.0,158.0,3.0,12
2999,14737KABE,ABE2001120305041004,0.33,N,156.0,2.0,157.0,3.0,12
3000,14737KABE,ABE2001120305051005,0.322,N,157.0,2.0,161.0,3.0,12
3001,14737KABE,ABE2001120305061006,0.327,N,157.0,2.0,157.0,2.0,12
3002,14737KABE,ABE2001120305071007,0.319,N,153.0,2.0,141.0,2.0,12
3003,14737KABE,ABE2001120305081008,0.332,N,142.0,2.0,131.0,2.0,12
3004,14737KABE,ABE2001120305091009,0.35,N,135.0,1.0,141.0,2.0,12
3005,14737KABE,ABE2001120305101010,0.353,N,136.0,2.0,138.0,2.0,12
3006,14737KABE,ABE2001120305111011,0.32,N,140.0,2.0,142.0,2.0,12
3007,14737KABE,ABE2001120305121012,0.33,N,143.0,2.0,146.0,2.0,12
3008,14737KABE,ABE2001120305131013,0.32,N,142.0,2.0,137.0,2.0,12
3009,14737KABE,ABE2001120305141014,0.306,N,138.0,2.0,132.0,2.0,12
3010,14737KABE,ABE2001120305151015,0.308,N,131.0,2.0,127.0,2.0,12
3011,14737KABE,ABE2001120305161016,0.36,N,127.0,1.0,126.0,1.0,12
3012,14737KABE,ABE2001120305171017,0.39,N,126.0,1.0,127.0,1.0,12
3013,14737KABE,ABE2001120305181018,0.395,N,122.0,1.0,116.0,1.0,12
3014,14737KABE,ABE2001120305191019,0.365,N,116.0,0.0,115.0,0.0,12
3126,14737KABE,ABE2001120307111211,0.6,D,146.0,1.0,143.0,2.0,12
3127,14737KABE,ABE2001120307121212,0.537,D,140.0,2.0,142.0,3.0,12
3128,14737KABE,ABE2001120307131213,0.46,D,141.0,3.0,149.0,3.0,12
3129,14737KABE,ABE2001120307141214,0.382,D,151.0,3.0,153.0,3.0,12
3130,14737KABE,ABE2001120307151215,0.348,D,151.0,3.0,149.0,4.0,12
3131,14737KABE,ABE2001120307161216,0.373,D,149.0,4.0,147.0,4.0,12
3132,14737KABE,ABE2001120307171217,0.37,D,146.0,3.0,145.0,4.0,12
3133,14737KABE,ABE2001120307181218,0.345,D,146.0,4.0,142.0,5.0,12
3134,14737KABE,ABE2001120307191219,0.331,D,143.0,4.0,115.0,4.0,12
3135,14737KABE,ABE2001120307201220,0.327,D,142.0,3.0,148.0,4.0,12
3136,14737KABE,ABE2001120307211221,0.32799999999999996,D,141.0,4.0,126.0,5.0,12
3137,14737KABE,ABE2001120307221222,0.33899999999999997,D,139.0,4.0,139.0,4.0,12
3138,14737KABE,ABE2001120307231223,0.336,D,141.0,4.0,138.0,4.0,12
3139,14737KABE,ABE2001120307241224,0.33,D,136.0,3.0,135.0,3.0,12
3140,14737KABE,ABE2001120307251225,0.331,D,129.0,2.0,120.0,2.0,12
3141,14737KABE,ABE2001120307261226,0.359,D,120.0,2.0,131.0,2.0,12
3142,14737KABE,ABE2001120307271227,0.325,D,105.0,1.0,106.0,2.0,12
3143,14737KABE,ABE2001120307281228,0.313,D,104.0,2.0,119.0,2.0,12
3144,14737KABE,ABE2001120307291229,0.316,D,117.0,2.0,121.0,2.0,12
3145,14737KABE,ABE2001120307301230,0.32899999999999996,D,122.0,2.0,124.0,3.0,12
3146,14737KABE,ABE2001120307311231,0.332,D,124.0,3.0,127.0,4.0,12
3147,14737KABE,ABE2001120307321232,0.33299999999999996,D,127.0,3.0,138.0,3.0,12
3148,14737KABE,ABE2001120307331233,0.33299999999999996,D,135.0,3.0,145.0,3.0,12
3149,14737KABE,ABE2001120307341234,0.33299999999999996,D,141.0,3.0,135.0,3.0,12
3150,14737KABE,ABE2001120307351235,0.34600000000000003,D,142.0,3.0,144.0,3.0,12
3151,14737KABE,ABE2001120307361236,0.33799999999999997,D,138.0,3.0,135.0,3.0,12
3152,14737KABE,ABE2001120307371237,0.336,D,130.0,2.0,126.0,2.0,12
3153,14737KABE,ABE2001120307381238,0.348,D,120.0,1.0,127.0,2.0,12
3154,14737KABE,ABE2001120307391239,0.348,D,108.0,1.0,105.0,1.0,12
3155,14737KABE,ABE2001120307401240,0.36200000000000004,D,101.0,1.0,107.0,1.0,12
3158,14737KABE,ABE2001120307431243,0.365,D,101.0,1.0,101.0,1.0,12
3159,14737KABE,ABE2001120307441244,0.36200000000000004,D,105.0,1.0,107.0,1.0,12
3160,14737KABE,ABE2001120307451245,0.369,D,105.0,1.0,102.0,1.0,12
3262,14737KABE,ABE2001120309271427,0.366,D,290.0,0.0,161.0,0.0,12
3264,14737KABE,ABE2001120309291429,0.397,D,181.0,1.0,182.0,2.0,12
3267,14737KABE,ABE2001120309321432,0.39,D,200.0,2.0,195.0,3.0,12
3269,14737KABE,ABE2001120309341434,0.389,D,208.0,2.0,186.0,3.0,12
3270,14737KABE,ABE2001120309351435,0.406,D,196.0,2.0,198.0,3.0,12
3271,14737KABE,ABE2001120309361436,0.401,D,187.0,2.0,183.0,3.0,12
3275,14737KABE,ABE2001120309401440,0.336,D,209.0,3.0,194.0,4.0,12
3299,14737KABE,ABE2001120310041504,0.267,D,210.0,2.0,196.0,2.0,12
3300,14737KABE,ABE2001120310051505,0.26899999999999996,D,197.0,2.0,172.0,3.0,12
3301,14737KABE,ABE2001120310061506,0.262,D,181.0,2.0,174.0,3.0,12
3302,14737KABE,ABE2001120310071507,0.264,D,178.0,2.0,181.0,3.0,12
3303,14737KABE,ABE2001120310081508,0.26899999999999996,D,175.0,3.0,167.0,4.0,12
3304,14737KABE,ABE2001120310091509,0.265,D,174.0,4.0,162.0,5.0,12
3305,14737KABE,ABE2001120310101510,0.263,D,180.0,4.0,179.0,5.0,12
3306,14737KABE,ABE2001120310111511,0.261,D,185.0,4.0,188.0,5.0,12
3307,14737KABE,ABE2001120310121512,0.259,D,193.0,3.0,167.0,3.0,12
3308,14737KABE,ABE2001120310131513,0.255,D,187.0,3.0,195.0,4.0,12
3309,14737KABE,ABE2001120310141514,0.25,D,183.0,4.0,185.0,6.0,12
3310,14737KABE,ABE2001120310151515,0.239,D,196.0,4.0,192.0,5.0,12
3382,14737KABE,ABE2001120311271627,0.18,D,211.0,2.0,196.0,2.0,12
3402,14737KABE,ABE2001120311471647,0.171,D,225.0,2.0,184.0,3.0,12
3404,14737KABE,ABE2001120311491649,0.17600000000000002,D,195.0,4.0,183.0,6.0,12
3405,14737KABE,ABE2001120311501650,0.179,D,191.0,4.0,179.0,5.0,12
3416,14737KABE,ABE2001120312011701,0.168,D,211.0,5.0,197.0,6.0,12
3418,14737KABE,ABE2001120312031703,0.171,D,202.0,5.0,198.0,6.0,12
3428,14737KABE,ABE2001120312131713,0.162,D,201.0,4.0,188.0,5.0,12
3429,14737KABE,ABE2001120312141714,0.17300000000000001,D,184.0,4.0,187.0,5.0,12
3430,14737KABE,ABE2001120312151715,0.16899999999999998,D,187.0,3.0,183.0,3.0,12
3431,14737KABE,ABE2001120312161716,0.171,D,193.0,3.0,163.0,4.0,12
3440,14737KABE,ABE2001120312251725,0.13699999999999998,D,202.0,6.0,198.0,8.0,12
3444,14737KABE,ABE2001120312291729,0.135,D,197.0,7.0,196.0,9.0,12
3450,14737KABE,ABE2001120312351735,0.126,D,220.0,6.0,197.0,7.0,12
3454,14737KABE,ABE2001120312391739,0.11800000000000001,D,202.0,7.0,189.0,7.0,12
3455,14737KABE,ABE2001120312401740,0.11199999999999999,D,201.0,7.0,198.0,7.0,12
3469,14737KABE,ABE2001120312541754,0.105,D,215.0,5.0,186.0,9.0,12
3471,14737KABE,ABE2001120312561756,0.098,D,190.0,6.0,192.0,7.0,12
3472,14737KABE,ABE2001120312571757,0.099,D,191.0,6.0,194.0,8.0,12
3473,14737KABE,ABE2001120312581758,0.087,D,199.0,6.0,190.0,6.0,12
3474,14737KABE,ABE2001120312591759,0.083,D,201.0,5.0,193.0,7.0,12
3486,14737KABE,ABE2001120313111811,0.087,D,208.0,7.0,198.0,8.0,12
3514,14737KABE,ABE2001120313391839,0.063,D,189.0,8.0,184.0,9.0,12
3523,14737KABE,ABE2001120313481848,0.064,D,195.0,8.0,190.0,9.0,12
3537,14737KABE,ABE2001120314021902,0.065,D,187.0,8.0,168.0,8.0,12
3570,14737KABE,ABE2001120314351935,0.062,D,205.0,8.0,192.0,8.0,12
3581,14737KABE,ABE2001120314461946,0.065,D,201.0,9.0,198.0,8.0,12
3586,14737KABE,ABE2001120314511951,0.066,D,199.0,8.0,192.0,9.0,12
3591,14737KABE,ABE2001120314561956,0.065,D,198.0,8.0,188.0,9.0,12
3610,14737KABE,ABE2001120315152015,0.062,D,205.0,9.0,187.0,9.0,12
3613,14737KABE,ABE2001120315182018,0.057,D,200.0,7.0,194.0,8.0,12
3614,14737KABE,ABE2001120315192019,0.057,D,200.0,7.0,199.0,7.0,12
3618,14737KABE,ABE2001120315232023,0.057999999999999996,D,199.0,7.0,189.0,8.0,12
3619,14737KABE,ABE2001120315242024,0.057,D,195.0,7.0,196.0,8.0,12
3620,14737KABE,ABE2001120315252025,0.057,D,196.0,7.0,196.0,8.0,12
3621,14737KABE,ABE2001120315262026,0.057999999999999996,D,194.0,8.0,194.0,8.0,12
3629,14737KABE,ABE2001120315342034,0.059000000000000004,D,205.0,8.0,199.0,9.0,12
3631,14737KABE,ABE2001120315362036,0.057999999999999996,D,200.0,7.0,199.0,7.0,12
3632,14737KABE,ABE2001120315372037,0.061,D,199.0,6.0,194.0,6.0,12
3633,14737KABE,ABE2001120315382038,0.061,D,200.0,6.0,198.0,7.0,12
4010,14737KABE,ABE2001120321550255,0.11900000000000001,N,340.0,0.0,182.0,1.0,12
4011,14737KABE,ABE2001120321560256,0.12300000000000001,N,179.0,0.0,187.0,1.0,12
4012,14737KABE,ABE2001120321570257,0.122,N,208.0,1.0,152.0,1.0,12
4013,14737KABE,ABE2001120321580258,0.125,N,164.0,0.0,165.0,0.0,12
4039,14737KABE,ABE2001120322240324,0.131,N,207.0,1.0,191.0,1.0,12
4040,14737KABE,ABE2001120322250325,0.127,N,195.0,1.0,191.0,1.0,12
4041,14737KABE,ABE2001120322260326,0.126,N,190.0,1.0,192.0,1.0,12
4042,14737KABE,ABE2001120322270327,0.126,N,192.0,1.0,190.0,1.0,12
4044,14737KABE,ABE2001120322290329,0.128,N,198.0,1.0,198.0,2.0,12
4200,14737KABE,ABE2001120401050605,0.17300000000000001,N,252.0,1.0,171.0,1.0,12
4205,14737KABE,ABE2001120401100610,0.172,N,229.0,1.0,194.0,1.0,12
4206,14737KABE,ABE2001120401110611,0.18100000000000002,N,211.0,1.0,199.0,1.0,12
4207,14737KABE,ABE2001120401120612,0.192,N,198.0,1.0,191.0,1.0,12
4208,14737KABE,ABE2001120401130613,0.2,N,192.0,1.0,194.0,1.0,12
4209,14737KABE,ABE2001120401140614,0.214,N,191.0,1.0,192.0,1.0,12
4210,14737KABE,ABE2001120401150615,0.222,N,188.0,1.0,182.0,1.0,12
4211,14737KABE,ABE2001120401160616,0.225,N,183.0,1.0,178.0,2.0,12
4212,14737KABE,ABE2001120401170617,0.225,N,184.0,1.0,188.0,2.0,12
4213,14737KABE,ABE2001120401180618,0.21100000000000002,N,183.0,2.0,178.0,2.0,12
4214,14737KABE,ABE2001120401190619,0.19399999999999998,N,184.0,2.0,196.0,2.0,12
4215,14737KABE,ABE2001120401200620,0.18600000000000003,N,193.0,2.0,198.0,2.0,12
4216,14737KABE,ABE2001120401210621,0.179,N,195.0,2.0,196.0,2.0,12
4222,14737KABE,ABE2001120401270627,0.16899999999999998,N,201.0,2.0,199.0,3.0,12
4223,14737KABE,ABE2001120401280628,0.168,N,203.0,2.0,197.0,3.0,12
4224,14737KABE,ABE2001120401290629,0.171,N,205.0,2.0,199.0,2.0,12
4294,14737KABE,ABE2001120402390739,0.19399999999999998,N,210.0,1.0,192.0,1.0,12
4296,14737KABE,ABE2001120402410741,0.18899999999999997,N,217.0,1.0,186.0,1.0,12
4589,14737KABE,ABE2001120408521352,0.214,D,208.0,2.0,192.0,3.0,12
4592,14737KABE,ABE2001120408551355,0.21899999999999997,D,204.0,3.0,191.0,3.0,12
4596,14737KABE,ABE2001120408591359,0.214,D,209.0,2.0,191.0,2.0,12
4597,14737KABE,ABE2001120409001400,0.21600000000000003,D,195.0,2.0,189.0,2.0,12
4606,14737KABE,ABE2001120409091409,0.21100000000000002,D,210.0,3.0,192.0,3.0,12
4607,14737KABE,ABE2001120409101410,0.207,D,198.0,3.0,188.0,5.0,12
4616,14737KABE,ABE2001120409191419,0.191,D,205.0,4.0,197.0,4.0,12
4646,14737KABE,ABE2001120409491449,0.18899999999999997,D,211.0,5.0,199.0,5.0,12
4683,14737KABE,ABE2001120410261526,0.128,D,235.0,3.0,190.0,3.0,12
4691,14737KABE,ABE2001120410341534,0.131,D,221.0,3.0,198.0,4.0,12
4731,14737KABE,ABE2001120411141614,0.109,D,209.0,3.0,178.0,3.0,12
4732,14737KABE,ABE2001120411151615,0.111,D,184.0,3.0,165.0,4.0,12
4733,14737KABE,ABE2001120411161616,0.115,D,167.0,3.0,160.0,4.0,12
4734,14737KABE,ABE2001120411171617,0.11599999999999999,D,161.0,3.0,159.0,2.0,12
4735,14737KABE,ABE2001120411181618,0.11699999999999999,D,159.0,2.0,151.0,2.0,12
4737,14737KABE,ABE2001120411201620,0.11599999999999999,D,193.0,2.0,189.0,2.0,12
4738,14737KABE,ABE2001120411211621,0.113,D,190.0,2.0,168.0,3.0,12
4739,14737KABE,ABE2001120411221622,0.113,D,188.0,2.0,198.0,3.0,12
4740,14737KABE,ABE2001120411231623,0.113,D,182.0,2.0,172.0,2.0,12
4741,14737KABE,ABE2001120411241624,0.114,D,177.0,2.0,183.0,3.0,12
4742,14737KABE,ABE2001120411251625,0.111,D,169.0,2.0,141.0,2.0,12
4743,14737KABE,ABE2001120411261626,0.113,D,165.0,2.0,155.0,2.0,12
4744,14737KABE,ABE2001120411271627,0.114,D,166.0,2.0,178.0,3.0,12
4745,14737KABE,ABE2001120411281628,0.113,D,172.0,3.0,190.0,3.0,12
4746,14737KABE,ABE2001120411291629,0.106,D,176.0,3.0,185.0,3.0,12
4747,14737KABE,ABE2001120411301630,0.111,D,166.0,3.0,155.0,3.0,12
4748,14737KABE,ABE2001120411311631,0.10800000000000001,D,168.0,3.0,167.0,3.0,12
4749,14737KABE,ABE2001120411321632,0.111,D,182.0,2.0,175.0,3.0,12
4750,14737KABE,ABE2001120411331633,0.105,D,184.0,2.0,178.0,3.0,12
4751,14737KABE,ABE2001120411341634,0.107,D,178.0,3.0,182.0,4.0,12
4753,14737KABE,ABE2001120411361636,0.107,D,182.0,2.0,179.0,4.0,12
4754,14737KABE,ABE2001120411371637,0.105,D,179.0,2.0,169.0,3.0,12
4755,14737KABE,ABE2001120411381638,0.10400000000000001,D,180.0,3.0,192.0,3.0,12
4761,14737KABE,ABE2001120411441644,0.105,D,204.0,2.0,197.0,3.0,12
4766,14737KABE,ABE2001120411491649,0.10300000000000001,D,203.0,3.0,179.0,4.0,12
4767,14737KABE,ABE2001120411501650,0.10400000000000001,D,184.0,3.0,175.0,4.0,12
4768,14737KABE,ABE2001120411511651,0.107,D,178.0,3.0,164.0,3.0,12
4772,14737KABE,ABE2001120411551655,0.105,D,192.0,3.0,195.0,4.0,12
4773,14737KABE,ABE2001120411561656,0.105,D,194.0,3.0,197.0,3.0,12
4774,14737KABE,ABE2001120411571657,0.10400000000000001,D,196.0,3.0,192.0,5.0,12
4777,14737KABE,ABE2001120412001700,0.102,D,208.0,3.0,191.0,3.0,12
4780,14737KABE,ABE2001120412031703,0.096,D,191.0,3.0,171.0,4.0,12
4781,14737KABE,ABE2001120412041704,0.098,D,184.0,3.0,166.0,5.0,12
4782,14737KABE,ABE2001120412051705,0.094,D,190.0,3.0,191.0,3.0,12
4783,14737KABE,ABE2001120412061706,0.098,D,184.0,2.0,178.0,2.0,12
4785,14737KABE,ABE2001120412081708,0.099,D,206.0,2.0,196.0,4.0,12
4786,14737KABE,ABE2001120412091709,0.095,D,202.0,4.0,192.0,5.0,12
4787,14737KABE,ABE2001120412101710,0.09699999999999999,D,189.0,4.0,185.0,5.0,12
4788,14737KABE,ABE2001120412111711,0.091,D,187.0,4.0,191.0,5.0,12
4789,14737KABE,ABE2001120412121712,0.095,D,187.0,3.0,185.0,4.0,12
